-64972.159796
0
0.082823 0.000008 0.000000 0.000132 0.021249 0.000000 0.000000 0.030119 0.009814 0.000568 0.060412 0.005217 0.000056 0.000000 0.000015 0.000000 0.008889 0.008378 0.055288 0.028778 0.055629 0.000001 0.000000 0.000000 0.006194 0.002543 0.011334 0.000949 0.000097 0.000004 0.000000 0.000006 0.013608 0.026220 0.087617 0.004684 0.000000 0.025748 0.000108 0.000008 0.000011 0.046325 0.004874 0.008728 0.000000 0.000019 0.000032 0.000000 0.040499 0.006335 0.000005 0.001057 0.019821 0.000253 0.006805 0.000830 0.012281 0.041439 0.010124 0.034727 0.000000 0.000002 0.000000 0.000001 0.042917 0.000087 0.011377 0.014748 0.000000 0.000000 0.063724 0.010338 0.008821 0.000075 0.000016 0.013920 0.009584 0.000008 0.000001 0.002636 0.001053 0.004975 0.020789 0.001310 0.000000 0.000001 0.000000 0.000000 0.007932 0.004857 0.000006 0.000150 0.000000 0.000000 0.000000 0.000011 
0.000609 0.000003 0.000000 0.002720 0.000001 0.000000 0.000000 0.000010 0.006922 0.011411 0.102577 0.008181 0.001429 0.007534 0.003364 0.000001 0.011392 0.016846 0.035816 0.013631 0.000000 0.000001 0.000000 0.000000 0.003401 0.000082 0.014001 0.022585 0.000016 0.000000 0.000000 0.000002 0.010726 0.008932 0.131042 0.008412 0.000000 0.004403 0.002686 0.000003 0.004325 0.017780 0.071638 0.007492 0.000000 0.018103 0.008619 0.000000 0.003308 0.002545 0.000001 0.016723 0.000002 0.000064 0.000000 0.000057 0.005684 0.021515 0.102142 0.021335 0.000000 0.000002 0.000000 0.000000 0.045740 0.024027 0.036347 0.019059 0.000000 0.000000 0.000893 0.002980 0.000165 0.000026 0.000028 0.003414 0.000032 0.002008 0.000000 0.000610 0.013465 0.003713 0.052288 0.010509 0.000000 0.000001 0.000000 0.000000 0.008677 0.024959 0.015977 0.005005 0.000000 0.000000 0.000000 0.000003 
0.001669 0.000003 0.002851 0.000016 0.003849 0.000000 0.000000 0.000005 0.006539 0.000095 0.011470 0.000055 0.000635 0.000000 0.001611 0.000000 0.000616 0.000097 0.000641 0.005577 0.000000 0.000000 0.000000 0.000000 0.001205 0.000686 0.001191 0.001284 0.002652 0.000000 0.000000 0.006027 0.006709 0.003793 0.020680 0.004435 0.000000 0.000013 0.000009 0.000001 0.000002 0.001095 0.000294 0.000042 0.000000 0.000000 0.003006 0.000000 0.001042 0.002207 0.001075 0.004540 0.000000 0.000182 0.000000 0.000909 0.004542 0.002412 0.015418 0.005291 0.000000 0.000001 0.000000 0.000000 0.000013 0.000010 0.000022 0.001726 0.002054 0.002450 0.001011 0.000001 0.020242 0.008045 0.007218 0.005723 0.135564 0.046418 0.024676 0.151343 0.207181 0.061796 0.087916 0.108015 0.000000 0.000000 0.000000 0.000000 0.000015 0.000009 0.000001 0.000016 0.000000 0.002060 0.000000 0.000001 
0.000362 0.021426 0.000000 0.000000 0.000005 0.000000 0.000000 0.000000 0.031199 0.023920 0.029639 0.019935 0.000000 0.000000 0.095206 0.000000 0.005749 0.015520 0.015428 0.001654 0.000000 0.000000 0.000000 0.000000 0.006378 0.001471 0.004920 0.004799 0.000119 0.000008 0.000000 0.000010 0.162976 0.007162 0.047216 0.020868 0.000000 0.026107 0.000000 0.026955 0.000000 0.020955 0.000000 0.000000 0.000000 0.000000 0.000088 0.000000 0.059280 0.001418 0.000000 0.002288 0.000000 0.014622 0.000000 0.009695 0.037131 0.003676 0.123512 0.010381 0.000000 0.000000 0.000000 0.000041 0.032033 0.000000 0.000000 0.010515 0.000000 0.000000 0.000000 0.000000 0.002467 0.000177 0.006934 0.003573 0.000607 0.000026 0.000002 0.003847 0.008501 0.005172 0.021906 0.002135 0.000000 0.000000 0.000000 0.000000 0.049982 0.000000 0.000000 0.000000 0.000000 0.000002 0.000000 0.000000 
0.008717 0.000003 0.000000 0.003836 0.000001 0.000000 0.000000 0.008028 0.005787 0.005710 0.013656 0.006249 0.002471 0.000000 0.000004 0.002267 0.005885 0.018622 0.008840 0.000050 0.000000 0.005169 0.000000 0.000000 0.006297 0.002339 0.000083 0.011454 0.004560 0.003155 0.000000 0.000001 0.003791 0.018216 0.008596 0.018554 0.000000 0.000081 0.000017 0.000002 0.000007 0.005991 0.012068 0.005861 0.000000 0.007505 0.000015 0.000000 0.015441 0.008377 0.000001 0.000283 0.007612 0.000032 0.000000 0.004457 0.008344 0.015719 0.018998 0.016299 0.000000 0.000001 0.000000 0.000000 0.000459 0.000030 0.000060 0.000245 0.000000 0.000000 0.000002 0.000002 0.017221 0.057510 0.019154 0.070719 0.177744 0.068785 0.008248 0.138790 0.024152 0.010589 0.043167 0.047819 0.000000 0.000002 0.000000 0.000000 0.002527 0.000040 0.000002 0.010046 0.000000 0.000000 0.000000 0.003236 
0.001247 0.000050 0.000000 0.000687 0.000011 0.000000 0.000000 0.000282 0.005639 0.003202 0.023403 0.001106 0.000753 0.000000 0.000073 0.000007 0.004264 0.002940 0.006476 0.001307 0.000000 0.000034 0.000000 0.000000 0.005062 0.001149 0.002735 0.002228 0.000212 0.000000 0.000000 0.000050 0.006361 0.005778 0.034422 0.004386 0.000000 0.000236 0.001071 0.000107 0.000153 0.008793 0.004474 0.002515 0.000000 0.000017 0.000139 0.000000 0.004259 0.003423 0.000032 0.002010 0.747875 0.000733 0.000000 0.001359 0.006893 0.008602 0.027994 0.004560 0.000000 0.000050 0.000002 0.000020 0.001084 0.000614 0.001543 0.004000 0.000000 0.000000 0.000034 0.000059 0.001879 0.000361 0.000180 0.005147 0.000920 0.000031 0.000002 0.001326 0.003759 0.006380 0.026287 0.003052 0.000000 0.000025 0.000000 0.000000 0.001789 0.001135 0.000039 0.001107 0.000000 0.000002 0.000000 0.000066 
0.000847 0.000000 0.000000 0.032164 0.000000 0.000000 0.000000 0.034435 0.016238 0.007124 0.039158 0.000727 0.000712 0.000000 0.000102 0.000000 0.032242 0.003102 0.000000 0.000509 0.000000 0.000009 0.000000 0.000000 0.036565 0.000581 0.237527 0.009063 0.000273 0.000013 0.000000 0.000036 0.007513 0.005158 0.090119 0.006726 0.000000 0.022603 0.001551 0.000031 0.000120 0.022756 0.005312 0.003070 0.000000 0.000014 0.000188 0.000000 0.002397 0.006646 0.000000 0.054124 0.000000 0.000000 0.000000 0.001715 0.003679 0.033562 0.035105 0.001606 0.000000 0.040394 0.000001 0.000006 0.000561 0.000513 0.001045 0.002798 0.000000 0.000000 0.000082 0.000080 0.102013 0.000472 0.000191 0.008684 0.000887 0.000011 0.000002 0.004015 0.004183 0.005091 0.063383 0.007261 0.000000 0.000007 0.000000 0.000000 0.001447 0.000606 0.000016 0.000779 0.000000 0.000001 0.000000 0.000051 
0.020409 0.000007 0.000000 0.002161 0.018657 0.028298 0.000000 0.014850 0.009361 0.019146 0.047912 0.003245 0.003906 0.028836 0.007149 0.004801 0.006556 0.007337 0.004330 0.001957 0.000000 0.000001 0.000000 0.000000 0.043648 0.016920 0.000131 0.001452 0.009687 0.032307 0.000000 0.039794 0.057304 0.004591 0.035153 0.005733 0.000000 0.016110 0.004816 0.009679 0.020416 0.009006 0.000833 0.006764 0.000000 0.000001 0.000016 0.000000 0.026923 0.023129 0.010657 0.013407 0.011898 0.011042 0.000000 0.019421 0.020413 0.008046 0.052131 0.002459 0.008028 0.009181 0.000000 0.014402 0.000092 0.000076 0.000060 0.000976 0.000000 0.000000 0.000008 0.000007 0.008255 0.023209 0.000010 0.016262 0.000814 0.031697 0.006714 0.050908 0.026922 0.028242 0.011912 0.002422 0.000000 0.000001 0.006097 0.000000 0.000455 0.000087 0.000006 0.004025 0.000000 0.000000 0.000000 0.006326 
-nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.187493 0.0417871 0.126894 0.0328116 6.01617e-07 0.0880081 0.214065 0.105722 0.0648497 0.0727564 0.0857801 0.121544 0.0620983 0.380155 0.00624132 0.214344 0.00606879 0.0128052 0.168607 8.85083e-07 
